gene_id	string_protein_id	propagate_score
PRDX6	9606.ENSP00000342026	6.896026821138195e-05
LAMC1	9606.ENSP00000258341	0.0003152002012891731
ANXA2	9606.ENSP00000346032	9.972415217438943e-05
AZU1	9606.ENSP00000233997	5.7397979025659546e-05
ALB	9606.ENSP00000295897	0.000385871316165596
VWA1	9606.ENSP00000417185	9.275285096848744e-05
BMP4	9606.ENSP00000245451	0.0002070899562825707
ITIH2	9606.ENSP00000351190	9.953701084834516e-05
APOA2	9606.ENSP00000356969	0.00015310452517086525
NPC2	9606.ENSP00000451112	6.096748765714883e-05
APOA5	9606.ENSP00000445002	0.00012229338409151924
FAM20A	9606.ENSP00000468308	9.201087916477511e-05
CAP1	9606.ENSP00000361883	7.572757244183161e-05
EVA1A	9606.ENSP00000233712	9.239900270787072e-05
LYZ	9606.ENSP00000261267	0.00015616168166690474
CREG1	9606.ENSP00000359540	5.74100655707923e-05
ENAM	9606.ENSP00000379383	9.726940346406494e-05
APOE	9606.ENSP00000252486	0.00019722469173800387
IGFBP5	9606.ENSP00000233813	9.995820255062304e-05
ARSB	9606.ENSP00000264914	6.718028564945544e-05
APP	9606.ENSP00000284981	0.0005158945496239353
IMPDH1	9606.ENSP00000345096	8.504940175214809e-05
MIA3	9606.ENSP00000340900	0.00010021134415681797
IGFBP1	9606.ENSP00000275525	9.830972825125591e-05
CCT8	9606.ENSP00000286788	0.00015602177299082207
GGH	9606.ENSP00000260118	0.00016923941479089327
SCG2	9606.ENSP00000304133	9.384831369921756e-05
IGFBP7	9606.ENSP00000295666	9.875840069215932e-05
PLGLB1	9606.ENSP00000347933	8.674504951979329e-06
SERPINC1	9606.ENSP00000356671	0.00013652593199776355
UNC13D	9606.ENSP00000207549	8.225398040122617e-05
KNG1	9606.ENSP00000265023	0.00038886350977827963
FGF23	9606.ENSP00000237837	0.00021699598085402058
PYCARD	9606.ENSP00000247470	9.881889666394989e-05
C6orf120	9606.ENSP00000346931	5.692395918966075e-05
